
He, Saike ==> 2.10748327793e-05
Qu, Weiruo ==> 3.39435298938e-05
Rabiner, Lawrence R. ==> 6.98636723326e-05
Pe&ntilde;as, Anselmo ==> 0.000113913962006
Ubaldino, Marc ==> 2.23145045624e-05
Yip, Kenneth Man-Kam ==> 1.9169450061e-05
Lin, Winston ==> 6.34724498409e-05
Shindo, Hiroyuki ==> 3.41285506575e-05
Smith, Ira ==> 6.3293004284e-05
Yaginuma, Yoshitomo ==> 1.95590139375e-05
Zhang, Peng ==> 5.78532825228e-05
Gondek, David ==> 4.2451957079e-05
Mima, Hideki ==> 4.34783366912e-05
Rennie, Steven ==> 3.60944383486e-05
Hafdell, Love ==> 4.58379124886e-05
Danielsson, Pernilla ==> 2.26048704491e-05
Copeck, Terry ==> 2.12804396121e-05
Lunati, Jean-Michel ==> 2.22524296062e-05
Birke, Julia ==> 7.30198640754e-05
Twomey, David ==> 2.29178186645e-05
Knoll, Sonja ==> 1.89539091431e-05
Swerts, Marc ==> 0.000112085595734
Tsurumaru, Hiroaki ==> 4.62209632635e-05
Masaaki, Yasuhara ==> 2.90947463379e-05
DiMarco, Chrysanne ==> 4.82689823217e-05
Hruschka Junior, Estevam Rafael ==> 5.69668756087e-05
Haenelt, Karin ==> 4.55652996026e-05
Imai, Takeshi ==> 6.69004860652e-05
Fabri, Ray ==> 1.68153605287e-05
Piskorski, Jakub ==> 0.000125036288421
Hansen, John P. ==> 3.91877413695e-05
Gancedo, Maria C. ==> 1.55337662165e-05
Buch-Kromann, Matthias ==> 6.1104114555e-05
Moraes, Silvia ==> 1.56578990674e-05
Gamage, Kumudu ==> 1.67508543875e-05
Moir&oacute;n, Bego&ntilde;a Villada ==> 7.75216535199e-05
Gledson, Ann ==> 3.11022347134e-05
Guthrie, Louise ==> 0.00033578020746
Martin, Joel ==> 0.000170211239815
Haase, Kenneth ==> 2.35035754044e-05
Li, Bo ==> 5.15976673898e-05
Naseem, Tahira ==> 0.000102656283816
Bulyko, Ivan ==> 3.78386059784e-05
Lee, Jonghoon ==> 6.04033361822e-05
Tarau, Paul ==> 0.000251966570484
Cavedon, Lawrence ==> 6.5887574756e-05
Blanchon, Herv&eacute; ==> 5.62410028954e-05
Mizuno, Junta ==> 4.01452346482e-05
Uchida, Hiroshi ==> 2.51844041494e-05
Young, Peter ==> 4.24928434741e-05
Schauer, Holger ==> 3.01694793072e-05
Douglas, Benjamin ==> 3.09854910617e-05
Mitchener, W. Garrett ==> 2.44773646577e-05
Miller, Bradford W. ==> 0.000110975335247
Temin, Aaron ==> 1.66835179624e-05
Ichioka, Kenichi ==> 3.81375915677e-05
Moore, Coleman ==> 3.42670831718e-05
Cordier, D. ==> 2.32886902245e-05
Anders, Bj&ouml;rkelund ==> 3.57579693246e-05
Seki, Kazuhiro ==> 3.84984936318e-05
Wang, Yi-Chia ==> 2.10924800566e-05
Chan, Hayward H. ==> 2.51468487175e-05
Tonelli, Sara ==> 0.000106144488002
El-Shishiny, Hisham ==> 1.91020375392e-05
Kongthon, Alisa ==> 4.03128669283e-05
Farley, Benoit ==> 2.40674047832e-05
Demetriou, George C. ==> 5.89348188731e-05
Zhang, Zhenzhong ==> 2.54737681568e-05
Vuorinen, Matti ==> 2.29719740734e-05
Gemello, Roberto ==> 1.45750585245e-05
Yosiyuki, Kobayasi ==> 4.59623120564e-05
Yasuda, Keiji ==> 6.65095816024e-05
Tily, Harry ==> 2.11825327824e-05
Chen, Harr ==> 8.12698983969e-05
Lee, Yoong Keok ==> 0.000190999642561
Magnuson, Tina ==> 2.91279996224e-05
Pianta, Emanuele ==> 0.000137251514388
Gweon, Gahgene ==> 1.98271189855e-05
Weston, Jason ==> 2.90306138208e-05
Umansky-Pesin, Shulamit ==> 5.63440355624e-05
Cox, Stephen ==> 1.45324014093e-05
Xiong, Hao ==> 4.03780290923e-05
Gaudinat, Arnaud ==> 2.59580120471e-05
Huang, Thomas ==> 2.65207661562e-05
Borghesi, Luigi ==> 1.57340018005e-05
Chiocchetti, Elena ==> 2.80587164335e-05
